sample_set,sample_question_number,main_model,variant,source_index,current_index,id,dataset,split,track,family,style_bucket,length_bin,length_bin_canonical,bucket_id,question,context,reference_output,prediction,prediction_model_name,finish_reason,prediction_file
10_per_length_bin,1,Qwen2.5-1.5B,baselm,222,222,cmrc2018-test-TRIAL_677_QUERY_3,cmrc2018,test,single,qa,qa_search,short,short,zh|single|qa|short,自2001年，萱侬律的经营权归谁所有？,萱侬律(又名：「东芭乐园」；泰文：สวน นงนุช ；英文：Nong Nooch Tropical Botanical Garden)位于泰国的春武里府之素坤逸路的163公里之地段。它是一个占地约两平方公里的热带植物公园。Pisit先生及Nongnooch Tansacha女士在1954年购买了2.4平方公里的土地，打算开发作为果园。最后，他俩决定保留该片土地上的热带植物作为野生动物的保护项目，并在在 1980年对公众开放。在2001年，他们把经营权移交给儿子Kampon Tansacha先生。目前还可细分成：法国花园、欧洲花园、石景园、仙人掌园及兰圃。植物的原产地侧重于东南亚、美洲热带、非洲及中部非洲种植的苏铁类植物，而且几乎每一个物种也能在这里看到。除了浏览野生动物，游客可以参观模拟的佛教仪式、泰国武术、古法按摩及象的表演。设有两间餐厅、一个小型动物园及一间附有游泳池的观光饭店，泰国风格的租赁住宅等。,,,qwen25_1_5b,stop,qwen25_1_5b__baselm.predictions.jsonl
10_per_length_bin,2,Qwen2.5-1.5B,baselm,482,482,cmrc2018-test-TRIAL_516_QUERY_2,cmrc2018,test,single,qa,qa_search,short,short,zh|single|qa|short,在古代的美索不达米亚时代，数字是如何表达的？,六十进制是以60为基数的进位制，源于公元前三千年至公元前两千年的苏美人，后传至巴比伦，流传至今仍用作纪录时间、角度和地理座标。其他文明也有使用六十进制，如西新几内亚的Ekagi族。数字60有12个因数，即1、2、3、4、5、6、10、12、15、20、30和60，其中2、3和5是质数。由于拥有较多因数，六十进制的数可被较多数整除；换言之，可以分拆成多种不同的时间长度，例如一小时可以被看作2个30分钟、3个20分钟、4个15分钟等。60也是可同时被1至6整除的最小的数字。在古代的美索不达米亚时代，数字以楔形文字表达，分「个位」和「十位」，1以Y代表，2为YY，3为YYY，如此类推，直至9；10则为<，20为«，如此类推，直至50（««<），如下图：大过59个数字，就重复以上符号作标示。闪族和早期巴比伦没有0的符号，导致相同符号却代表不同的数字，初期用空格表示后用两个«斜型符号代表。与其他进位制不同，六十进制在一般运算和逻辑中并不常用，主要用于计算角度、地理座标和时间。在古代美索不达米亚文明尚未有分数概念，亦以六十进制计算分配物资之份量。在农历中，有六十甲子的概念，以天干与地支两者经一定的组合方式搭配成六十对，为一个周期。,,在古代的美索不达米亚时代，数字以楔形文字表达，分“个位”和“十位”，1以Y代表，2为YY，3为YYY，如此类推，直至9；10则为<，20为«，如此类推，直至50（««<），如下图：大过59个数字，就重复以上符号作标示。,qwen25_1_5b,stop,qwen25_1_5b__baselm.predictions.jsonl
10_per_length_bin,3,Qwen2.5-1.5B,baselm,948,948,cmrc2018-test-TRIAL_713_QUERY_3,cmrc2018,test,single,qa,qa_search,short,short,zh|single|qa|short,卡洛身兼几家骑士团的大团长职位？,卡洛·玛利亚·贝尔纳多·真纳罗（Carlo Maria Bernardo Gennaro，），出生时取名夏尔·马里·贝纳德·真纳罗（Charles Marie Bernard Gennaro），两西西里王子，2008年起为卡斯特罗公爵、波旁-两西西里王室家族族长。夏尔·马里·贝纳德·真纳罗是卡斯特罗公爵、波旁-两西西里王室家族族长费迪南多·玛利亚与妻子尚塔尔·德·舍弗隆-维耶特的儿子，1963年2月24日生于法国瓦尔省圣拉斐尔。卡洛·玛丽亚·贝尔纳多·真纳罗是他全名的意大利文拼法。1966年，夏尔的祖父卡斯特罗公爵、波旁-两西西里王室家族族长兰尼埃里将他的所有头衔让给长子费迪南多·玛利亚。夏尔作为其父的继承人，得到了卡拉布里亚公爵的称号。夏尔先后在土伦、尼斯、巴黎完成了学业，并在曼哈顿一家公关公司工作过三年。他精通英语、法语和意大利语。2008年3月20日，费迪南多·玛利亚去世。夏尔继位成为卡斯特罗公爵、波旁-两西西里王室家族族长。若两西西里王国继续存在，他将成为两西西里国王卡洛一世。然而他的继承权遭到他的堂兄西班牙王子卡洛斯·玛利亚·德·波旁-两西西里和西班牙王室的争议。由于卡洛斯·玛利亚的祖父卡洛斯·坦克雷多是兰尼埃里的次兄，但是卡洛斯·坦克雷多已于1900年放弃自己及后裔对两西西里王位的要求，成为西班牙王子。大部分欧洲王室和大部分波旁-两西西里家族成员认可卡洛为波旁-两西西里王室家族族长。卡洛还是圣乔治康斯坦丁骑士团、圣斐迪南骑士团、圣真纳罗骑士团和弗朗切斯科一世王家骑士团的大团长。卡洛于1998年10月31日在摩纳哥与意大利人卡米拉·克罗齐亚尼（Camilla Crociani，1971年4月5日生）结婚。卡米拉·克罗齐亚尼是卡米洛·克罗齐亚尼和夫人艾迪·维塞尔的女儿。卡洛与卡米拉有两个女儿：卡洛的三代祖辈详见下表：,,卡洛身兼圣乔治康斯坦丁骑士团、圣斐迪南骑士团、圣真纳罗骑士团和弗朗切斯科一世王家骑士团的大团长。,qwen25_1_5b,stop,qwen25_1_5b__baselm.predictions.jsonl
10_per_length_bin,4,Qwen2.5-1.5B,baselm,1824,1824,drcd-test-1177-34-1,drcd,test,single,qa,qa_search,short,short,zh|single|qa|short,哪一等級學校是可以覆蓋到中山市的每一個鎮？,除了中山十景之外，中山還有一些熱門的旅遊景點，例如岐江公園、中山城、嶺南水鄉、詹園、橫門海上莊園、廣豐村旅遊區、泉林山莊、卓旗山莊、長江水世界、逍遙谷等。中山市於2005年成功創建廣東省教育強市。中山市基礎教育比較完善，每個鎮均有一所以上初中，小學基本覆蓋到社區，幼兒教育更能覆蓋到小區。中山市憑著城市綠化率高、環境衛生狀況良好、治安穩定等條件，近幾年陸續榮獲聯合國和中國政府的一些城市榮譽，在綠化、環境、衛生、城市建設、治安等方面的成績位於中國城市的前列。孫中山，香山縣南朗翠亨村人。建立中華民國，廢除了中國數千年的君主體制，任中華民國首任臨時大總統，被中國人尊稱為「國父」或「革命先行者」。,,中山市的小學基本覆蓋到社區,qwen25_1_5b,stop,qwen25_1_5b__baselm.predictions.jsonl
10_per_length_bin,5,Qwen2.5-1.5B,baselm,1916,1916,drcd-test-1180-9-3,drcd,test,single,qa,qa_search,short,short,zh|single|qa|short,單獨的恆星或星團只要是超過什麼地方都沒有被觀測過？,在20世紀的第一個十年裡，恆星物理概念性的重要工作開始進展。在1913年，赫羅圖發展出來，推動了恆星在天文物理上的研究。解釋恆星內部和恆星演化的模型被成功的發展出來；恆星光譜也因為量子物理學的進展而得以成功的解釋；恆星大氣中的化學成分也能夠被確定。除了超新星之外，各別的恆星都在我們的銀河系所在的本星系群中被觀測到，特別是在可以看見的銀河部分。但是有些距離地球一億光年遠，在室女座星系團哎母100星系內的恆星也被觀測到。在本超星系團也有一些星團被觀測到，並且現代的望遠鏡原則上可以觀察到本星系群內單獨的微弱恆星—被解晰出來最遙遠的恆星距離在一億光年。然而在本超星系團之外的星系中，無論是單獨的恆星或星團都未曾被觀測過，唯一的例外是在十億光年外的一個擁有數十萬顆恆星的巨大星團曾留下微弱的影像—距離十倍於以前曾觀測過最遙遠的星團。,,十億光年,qwen25_1_5b,stop,qwen25_1_5b__baselm.predictions.jsonl
10_per_length_bin,6,Qwen2.5-1.5B,baselm,2081,2081,drcd-test-1194-7-3,drcd,test,single,qa,qa_search,short,short,zh|single|qa|short,什麼時間之前加拿大最大的城市和金融中心並非多倫多？,從19世紀末至20世紀初湧入多倫多的移民主要是德國人、義大利人和來自東歐的猶太人。華人、俄羅斯人、波蘭人和其他東歐國家的移民後來相繼抵達。縱使人口增長迅速，直至1920年代，多倫多的人口和經濟影響力還是不及歷史較悠久的蒙特婁，但多倫多證券交易所卻於1934年成為全國最大的交易所。二戰後，來自東歐的難民，以及華人、義大利人和葡萄牙人陸續抵達。加拿大政府於1960年代末取消含有種族歧視成份的移民法後，更多移民從世界各個角落抵達多倫多。多倫多的人口於1951年越過一百萬大關，更於1971年增至二百萬人。而很多全國和跨國企業於1980年代有見於魁北克政局不穩，紛紛把總部從蒙特婁遷至多倫多和加拿大西部其他城市，也造就多倫多於1980年代取代蒙特婁成為全國最大城市和金融中心。,,1920年代,qwen25_1_5b,stop,qwen25_1_5b__baselm.predictions.jsonl
10_per_length_bin,7,Qwen2.5-1.5B,baselm,2527,2527,drcd-test-3208-7-3,drcd,test,single,qa,qa_search,short,short,zh|single|qa|short,USC和UCLA簽訂協議後，第一年的比賽由誰獲勝?,"重達295磅的鐘，原本裝載南太平洋鐵路的火車頭上，在1939年代表校友會的禮物送給UCLA全體學生。在兩個賽季中，當小熊達點後，UCLA啦啦隊長就會敲響此鐘，在1941年UCLA公開賽時，六名USCSigEp會員潛入小熊的大本營，並且用卡車將鐘偷偷載走，他們將鐘藏起來並且躲過UCLA學生的視線超過一年，起初藏在SigEp地下室裡，然後好萊塢山、聖安娜和其他地方，甚至有時藏在乾草堆裡，小熊千方百計的想找出鐘，但都徒勞無功。直到1942年，這場風波才平息下來，當勝利鐘的照片刊在USC雜誌""The Wampus,""上時，引起了軒然大波，UCLA的學生朝USC的特洛依銅像Tommy Trojan噴漆，而USC的學生也不甘示弱的回敬在UCLA的草皮上燒出USC的縮寫，讓警方不得不數次警告，最後，這場衝突在USC校長Dr. Rufus B. von Kleinsmid威脅下—如果再發生紊亂將取消USC-UCLA的比賽，終於停止了紛爭。1942年11月12日，勝利鐘用輪子載到特洛依銅像Tommy Trojan前，雙方學生代表—USC的Bill McKay和UCLA的Bill Farrer—簽署了協議書，同意往後年度的特洛依-小熊足球比賽的優勝者，隨後的一年可以保有此鐘，也就是說，此鐘留在該年比賽勝利的學校，隨後、USC的校友會付給UCLA的校友會一半鐘的費用。當時的協議看似不利於小熊，因為他們從未打敗過USC，但在第一年的比賽，1942年，UCLA狠狠的痛擊USC，14比7。USC總共贏得7個足球賽季的勝利鐘，在主場比賽時，無論是在玫瑰盃USC對上UCLA，前四分之三局時，勝利鐘會擺在球場邊，當特洛依得分時，特洛依騎士和USC Helenes將敲響勝利鐘。橡木棍一根鑲著寶石的橡木棍來回穿梭於每年度南加大-聖母大學比賽的贏家手上，這可說是全國最激烈的大學足球比賽。橡木棍是一種蓋爾人戰鬥用的棍棒，用愛爾蘭島上的橡樹或黑刺李樹製成的，只用這種木頭的原因是說，它是唯一比愛爾蘭人頭殼還堅硬的東西。",,US,qwen25_1_5b,stop,qwen25_1_5b__baselm.predictions.jsonl
10_per_length_bin,8,Qwen2.5-1.5B,baselm,2580,2580,drcd-test-3213-25-1,drcd,test,single,qa,qa_search,short,short,zh|single|qa|short,威尼斯的右眼是指伯羅奔尼撒半島南端的摩冬港和哪個港口?,由於對拜占廷地理的熟悉，威尼斯掌握了可以保證其海上優勢的領土——伯羅奔尼撒半島南端的摩冬港和科龍港，兩地扼守愛琴海和黑海入口，被稱為威尼斯的右眼。此外威尼斯還獲得了伊庇魯斯沿岸、愛奧尼亞群島、科孚島、克里特島、愛琴海中其他幾個大島和色雷斯的港口，以及內地的阿德里安堡。蒙費拉侯爵博尼法斯二世獲得了薩洛尼卡港、馬其頓和希臘中部的大片土地，建立了薩洛尼卡拉丁王國；勃艮地貴族奧東·德拉羅什獲得了提佛和雅典，建立了雅典公國；《君士坦丁堡的征服》作者傑弗里·德維爾阿杜安的侄子承繼了占據伯羅奔尼撒半島大部的亞該亞侯國；愛琴海中大部分島嶼原來是交給威尼斯的，但威尼斯共和國政府卻決定把這些占領地交給私人，於是丹都洛總督的侄子帶領幾個同夥，在這些島嶼上建立了阿希佩戈拉公國。凱法利尼亞島成為特殊伯爵領地，羅得島起初還被東羅馬貴族牢牢占據，但很快被一夥義大利冒險家占領，1309年落入聖約翰騎士團手中，成為抵抗鄂圖曼人的巨大要塞。君士坦丁堡被十字軍攻陷前夕，許多拜占廷貴族高官紛紛攜帶家眷和金銀細軟逃離危在旦夕的首都，來到海峽對面的小亞細亞地區。阿列克修斯三世的另一個女婿，拉斯卡利斯家族的提奧多雷，於城破之際在聖索非亞大教堂被人民推舉為皇帝，而後倉皇從海路撤出君士坦丁堡，先在布魯薩城暫避風頭，後得到擔心拉丁人勢力東擴的塞爾柱人蘇丹的支持，在尼西亞定居下來。提奧多雷以這個繁榮城市為中心，建立了一個新的希臘人帝國，也就是尼西亞帝國。,,科龍港,qwen25_1_5b,stop,qwen25_1_5b__baselm.predictions.jsonl
10_per_length_bin,9,Qwen2.5-1.5B,baselm,2609,2609,drcd-test-3221-3-1,drcd,test,single,qa,qa_search,short,short,zh|single|qa|short,舉世矚目的莫高窟於哪一年被列入世界遺產?,舉世矚目的莫高窟則位於敦煌城區東南方向的鳴沙山上，於1987年被列入世界遺產名錄。莫高窟俗稱千佛洞，開鑿於前秦，在以後的一千多年裡均有續建，直至元朝，是世界上現存規模最大、保存最完好的石窟寺。有洞窟近500座，壁畫數萬平方米，內容以佛教為主，美輪美奐，被稱為石窟藝術寶庫。20世紀初曾發現藏經洞，內藏4萬多件經卷等文物，但在20世紀初大量流失至歐美國家。莫高窟西南的西千佛洞以及相鄰瓜州縣榆林窟亦相類似，附近相似的石窟藝術被統稱為敦煌石窟。目前，國際上已經興起了以研究敦煌石窟及相關文化、歷史為主的敦煌學。中國政府亦在這裡建立了國家級的敦煌研究院。敦煌城南的鳴沙山—月牙泉也是一處著名風景區。鳴沙山沙分五色，當有大量人群從沙山上下滑時可轟鳴作響。山中環抱有月牙泉，其形狀宛若一彎新月，水色蔚藍，清澈如鏡。但一度因過度開發當地地下水資源，而導致水位不斷下降。近年來，當地政府採取了一些措施，目前正在緩慢恢復中。甘肅敦煌太陽能公園是約9平方公里的大型太陽能光伏電站，並產生10兆瓦的電力，地處西南部。這是中國最大的當時在2009年7月落成的750千伏的輸電線路。,,1987年,qwen25_1_5b,stop,qwen25_1_5b__baselm.predictions.jsonl
10_per_length_bin,10,Qwen2.5-1.5B,baselm,2926,2926,drcd-test-3424-1-3,drcd,test,single,qa,qa_search,short,short,zh|single|qa|short,從1937年舉行的第9屆奧斯卡頒獎典禮開始，最佳女主角獎固定每年提名幾位人選?,奧斯卡最佳女主角獎是美國電影藝術與科學學院頒發的一個年度獎項，旨在獎勵在電影中有傑出表現的女性主演演員。獎項於1929年的第1屆奧斯卡頒獎典禮上首度頒發，獲獎者是主演《第七天堂》、《馬路天使》和《日出》的珍妮·蓋諾。目前，獎項提名人選由學院演員分部成員通過可轉移單票制選出，獲獎者則由學院全部投票成員通過多數制決定。第1到3屆奧斯卡金像獎角逐期間，所有提名人都可以因相應年度的多部作品獲得同一項提名，這其中最多的達到3部，片名均會列在提名人選的姓名之後。不過，在1930年舉行的第3屆頒獎典禮上，獲獎者雖然是因兩部電影獲得提名，但最終的獲獎作品只列出了一部。次年，這套既不實用、又容易造成混亂的制度被新的制度取代，這一新制度也沿用至今，每位男演員均是因單獨一部電影中的表演獲提名，但仍然可以憑藉多部電影獲得多項提名。從1937年舉行的第9屆頒獎典禮開始，這一獎項正式固定為每年提名5位人選。截至2016年，共有74位女演員獲得過這一獎項。凱瑟琳·赫本曾4次勝出，是獲獎次數最多的女演員。梅莉·史翠普提名次數最多，達16次。獎項的最近一位勝出者則是因《樂來越愛你》獲獎的艾瑪·史東。,,5,qwen25_1_5b,stop,qwen25_1_5b__baselm.predictions.jsonl
